row	col	weight
X54968	X54967	0.704984695688247
X48762	X43424	0.704884888041601
X52474	X48258	0.704674228091972
X57481	X57482	0.703948421726629
X31536	X63853	0.703939646685104
X37506	X52437	0.703651393852767
X32418	X62850	0.703071384663264
X37506	X42459	0.702787070143177
X1589	X1591	0.702754681206386
X52689	X52673	0.7026592936157
X43255	X48434	0.702650612112219
X15677	X46646	0.702574021898811
X21132	X63853	0.702572658359712
X443	X41754	0.702529059314281
X34424	X18254	0.702494975729483
X62735	X63658	0.70241255848523
X32562	X32619	0.70237137055974
X35160	X53223	0.702348002342977
X62146	X46266	0.702181714256777
X37192	X37202	0.702077787570296
X35631	X41220	0.701842904926289
X31591	X57714	0.701661692778522
X37186	X57714	0.701450851822843
X42463	X47154	0.701324863638952
X31555	X46359	0.701249902101147
X6146	X62915	0.701213492659415
X43255	X33950	0.700940737984889
X48885	X43591	0.700505397544221
X46594	X57718	0.700323853618658
X49512	X62151	0.700201680549941
X62954	X47101	0.700086470474674
X35628	X33230	0.700040172978026
X31943	X32426	0.699618780961391
X52682	X52677	0.69947304979802
X48490	X19503	0.699119220665974
X48990	X52483	0.698977874854774
X2730	X53	0.698681314096943
X1417	X63057	0.697632867191496
X48569	X53258	0.697460171130809
X40469	X594	0.697226191353683
X52285	X38102	0.697088404438446
X52478	X47153	0.696888218879829
X46144	X62068	0.69669789010552
X48448	X32401	0.696170055857858
X53013	X53010	0.696049038878389
X46512	X46516	0.696015385983763
X52669	X52470	0.69592268624893
X38100	X54840	0.695506101444858
X32578	X49557	0.695333761727345
X63358	X34534	0.695117378402588
X39609	X47014	0.694976473830826
X35186	X48258	0.694448899338267
X62290	X33935	0.693888466195959
X32415	X57467	0.693614763305057
X43591	X33013	0.69355237641793
X46608	X46384	0.69355145350564
X34214	X36602	0.693079376074133
X46115	X32562	0.692655324506627
X62295	X62299	0.692560435378261
X35172	X42382	0.692264198979191
X57776	X52779	0.692168129442691
X43255	X33953	0.691783593375032
X37203	X52867	0.691673446825069
X52990	X49517	0.691462504495041
X35628	X42398	0.691227934213929
X32342	X443	0.690771901459482
X37186	X33973	0.690554623394147
X33939	X2829	0.690355319187852
X63650	X46266	0.690244215380063
X54885	X45970	0.690116982410893
X18369	X1125	0.689946837705143
X1642	X62850	0.689813676524329
X37192	X43591	0.689598635406126
X32398	X48048	0.689415474337506
X514	X46690	0.689350093873009
X35114	X35137	0.68928200880834
X62296	X62297	0.68911503152867
X52450	X52468	0.689097790820689
X63358	X61769	0.688687658249002
X542	X1549	0.688511697348781
X57577	X1605	0.688465881619057
X57467	X33587	0.688197606021099
X62921	X46515	0.688028065595733
X55015	X33934	0.687924430254642
